title,description,category,organization,recurrence,start_date,end_date,region,zip_code,owner
Communications & Public Relations Manager,"• Preparing press releases and updates to our website. •Working on the new “Greeter for a Day” program, in which CEOs and other top executives have the opportunity to be a Greeter in a neighborhood of their choice. •Updating press log and maintaining clip file.",Strengthening Communities,Big Apple Greeter,ongoing,February 23 2022,February 23 2023,MANHATTAN,11728,testadmin
Logo Design for Professionals,"A logo provides a visual identity that conveys an organization's values, mission, and brand. Visual branding provides a set of guidelines, fonts, and colors, which support an organization's logo and visual identity.",Strengthening Communities,Catchafire,ongoing,June 5 2022,June 4 2023,MANHATTAN,12076,testadmin
Web Editor,"The Web Editor will be responsible for managing all aspects of the site’s content, which entails a conceptual and detailed plan of new content.",Strengthening Communities,Queens Pride House,ongoing,March 14 2022,June 30 2022,QUEENS,14783,testadmin
Grant Writer,Big Apple Greeter’s Director of Development seeks a part-time Volunteer Grant Writer. The ideal candidate will have a several years of grant-writing experience.,Strengthening Communities,Big Apple Greeter,ongoing,February 23 2022,February 23 2023,MANHATTAN,11728,testadmin
Fall Internship  for High Schools Students at ClassWish.org,"ClassWish is a nonprofit organization that empowers parents, educators, and local communities to make a positive change in their children's lives by providing them with the supplies they need to learn, grow and excel.",Education,ClassWish,ongoing,September 19 2022,December 16 2023,MANHATTAN,11722,testadmin
Career Gear,"Career Gear collects men's business clothing, and provides career counseling and mock interviews for clients, who are looking to enter or re-enter the workforce.",Helping Neighbors in Need,Street Project,onetime,January 29 2022,January 29 2022,MANHATTAN,11727,testadmin
Governor's Island Family Festival,"Join the Governors Island Alliance on Saturday, May 28th for our seventh annual Family Festival in Nolan Park on Governors Island. Volunteers are needed to help set up and run activities for children ranging from theater games to arts and crafts projects. Please go to Bit.ly/GIAVolunteer to sign up!",Strengthening Communities,Governors Island Alliance,onetime,May 28 2022,May 28 2022,MANHATTAN,11724,testadmin
Calling all Citizens: Improve Student Achievement in NYC by Teaching your Passion!,Share What YOU Know and Love: Become a Citizen Teacher!,Education,Citizen Schools,ongoing,October 3 2022,June 20 2023,MANHATTAN,11726,testadmin
Yoga Instructor,Need yoga instructor for adolescents in the inpatient psychiatry unit at Bellevue Hospital.,Health,Children of Bellevue,ongoing,September 1 2022,August 31 2023,MANHATTAN,12078,testadmin
Blankets of Love,Knitting Project,Strengthening Communities,FEGS,ongoing,September 22 2022,June 30 2023,MANHATTAN,12076,testadmin
Queens:Yoga Fitness Instructor for Shape Up New York at Al Oerter !,NYC Parks and Recreation seeks your participation to enrich our recreation facilities!   Shape Up New York is a free fitness program for all ages and is looking for additional instructors at Al Oerter Recreation Center. Volunteer opportunities are available for a variety of classes and activities...,Health,New York City Department of Parks & Recreation,ongoing,June 1 2022,June 30 2023,QUEENS,14190,testadmin
Route Marshall,"You will ride one of the various routes (15, 30, 45, 62, 100 miles)  to see order is maintained, any emergencies be addressed, and any questions that the riders may have be answered.",Strengthening Communities,American Diabetes Association,onetime,June 5 2022,June 5 2022,MANHATTAN,11722,testadmin
Ice Skating - Police Athletic League,Please join us and the PAL kids for ice skating at Riverbank Park. It's a great way to enjoy the final days of winter and for a very good cause! Volunteers are kindly asked to pay for their expenses on the day. Admission to rink and skate rental are $5.00 and $6.00 respectively.,Strengthening Communities,Street Project,onetime,February 19 2022,February 19 2022,MANHATTAN,12423,testadmin
MS131 Painting Project,Join us for a painting project at MS131 in Chinatown on September 10th 2011. As part of our day of service in remembrance of 9/11.,Education,Pace University Community & Volunteer Mobilization AmeriCorps,onetime,September 10 2022,September 10 2022,MANHATTAN,11728,testadmin
Volunteer at Queens Sand Castle Contest,"Join the Department of Parks and Recreation at Far Rockaway Beach on July 24th for a Sand Castle Contest.  Time commitment will include morning and afternoon hours.  Volunteers needed for crafts, face painting, refreshment distribution and contest judging.",Strengthening Communities,New York City Department of Parks & Recreation,onetime,July 24 2022,July 24 2022,QUEENS,24014,testadmin
Mt. Zion Kidz Fair,"A day of fun and games, giveways for the entire community.",Strengthening Communities,Brooklyn Center for Quality Life (BCQL),onetime,August 28 2022,August 28 2022,BROOKLYN,16866,testadmin
Marketing/PR Volunteer,"ARTs East New York Inc. is looking for open-minded, motivated volunteers with an interest in the arts and community development to further the mission of our organization. Interns should have strong work ethic and willingness to explore the idea of using the arts as a tool for change.",Strengthening Communities,ARTs East New York Inc.,ongoing,February 28 2022,February 10 2023,BROOKLYN,17214,testadmin
Volunteer with El Museo del Barrio,El Museo del Barrio needs your help for a wide array of volunteer tasks!,Strengthening Communities,El Museo Del Barrio,ongoing,June 29 2022,December 15 2023,MANHATTAN,12426,testadmin
Bronx Non-Profit Legal Service Provider Seeks Interns,Part of the Solution (POTS) Legal Clinic (www.potsbronx.org) serves low-income residents of the Bronx.,Helping Neighbors in Need,Part of the Solution (POTS),ongoing,September 15 2022,September 14 2023,BRONX,10936,testadmin
Market Analysis for Income-Generating Organizations for Professionals,"Market analysis helps an organization understand the attractiveness of a market, its evolving opportunities, and threats in the external market as they relate to an organization's internal strengths and weaknesses.",Strengthening Communities,Catchafire,ongoing,June 6 2022,June 5 2023,MANHATTAN,12076,testadmin
Teach Adults and Kids how to Ride Bikes!,"Give the gift of confidence, freedom, independence, and a greener, healthier society to others through teaching them how to ride bicycles!",Health,Bike New York,ongoing,August 10 2022,October 15 2022,MANHATTAN,12421,testadmin
Fundraising and Development Manager for Healthy Eating Programs,Looking for someone  to grow the impact of our programs by getting involved in all aspects of our fundraising operations with a focus on fundraising management and development.,Strengthening Communities,"Spoons Across America dba Farm to Table, Inc.",ongoing,January 26 2022,January 26 2023,BROOKLYN,17617,testadmin
Park Volunteer Day,"Help us spread Fibar mulch on paths in the park, to create a safe walking surface.  September 17, from 2pm - 5pm.",Environment,Stuyvesant Cove Park,onetime,September 17 2022,September 17 2022,MANHATTAN,12073,testadmin
Employment Mentoring,Helping those to help themselves,Helping Neighbors in Need,FEGS,ongoing,September 14 2022,September 13 2023,MANHATTAN,12076,testadmin
Help New Yorkers Affected by the Storm in Queens,"Thousands of New Yorkers aren’t able to dig out the snow; many need help shoveling snow, bringing groceries into their home, or traveling to mass transit hubs.  If you’re an able-bodied New Yorker with a few minutes to spare, please find an opportunity in your neighborhood below.",Helping Neighbors in Need,NYC Service,onetime,January 23 2022,January 23 2022,MANHATTAN,11728,testadmin
Dirty Hands Wanted!,Don’t need to have a green thumb but it doesn't hurt. We need muscle power to help maintain several raised beds filled with vegetables and flowers.,Environment,"Services for the UnderServed, Inc.",ongoing,April 19 2022,August 18 2022,MANHATTAN,11722,testadmin
Branding and Marketing Project,We are looking for help with the successful re-launch of our brand with an effective roll out strategy and marketing plan.,Strengthening Communities,ARTs East New York Inc.,ongoing,April 4 2022,May 30 2022,BROOKLYN,17214,testadmin
Be a Chapter Ambassador!,"The Chapter Ambassadors will promote Society events, programs and outreach events as program support and as a Society representative at various events and programs directly benefiting people living with MS.",Health,National Multiple Sclerosis Society NYC Chapter,ongoing,June 21 2022,June 20 2023,MANHATTAN,12079,testadmin
Marketing & Advertising Volunteer,"World Cares Center is looking for individuals to help us with branding initiatives and producing print materials (pamphlets, brochures, etc.)for marketing our programs and initiatives.",Strengthening Communities,World Cares Center,ongoing,June 1 2022,May 31 2023,MANHATTAN,12080,testadmin
Senior Counselor,"Provide daily guidance to campers, lead camp activities, assist other counselors, actively participate with campers, plan and direct a portion of daily activities, maintain attendance records and other required paper work. Assume responsibility for safety and discipline of campers.",Strengthening Communities,No Doubt Inc.,ongoing,March 7 2022,August 31 2022,QUEENS,14507,testadmin
I would like to become a mentor,"A mentor’s main purpose is to help a child define individual goals and find ways to achieve them.  Since the expectation of each child will vary, the mentor’s job is to encourage the development of a flexible relationship that responds to both the mentor’s and the child’s needs.",Education,"Mentors Organized means Victory for Everyone,(MOVE)Inc.",ongoing,January 24 2022,January 24 2023,BROOKLYN,17618,testadmin
Clerical Assistant,"Clerical Assistanted wanted.  Assist in filing, typing, record keeping, some receptionist duties.",Strengthening Communities,Episcopal Social Services NYC,ongoing,August 2 2022,August 1 2023,MANHATTAN,11722,testadmin
Give the Gift of Bicycling!,Spend one hour this Saturday learning how to change others' lives by teaching them how to ride a bicycle!,Helping Neighbors in Need,Bike New York,ongoing,June 3 2022,June 2 2023,MANHATTAN,12421,testadmin
Class Wish Internship,Year round or summer internship in NYC or virtually,Education,ClassWish,ongoing,June 27 2022,June 26 2023,MANHATTAN,11722,testadmin
Fall Volunteer ESL Teacher,We are looking for enthusiastic volunteers to teach our ESL classes for the fall semester. No experience is necessary and training is provided!,Helping Neighbors in Need,Arab American Association Of New York,ongoing,September 2 2022,October 1 2023,BROOKLYN,17216,testadmin
Promotional Video for Professionals,A promotional video gives an organization the opportunity to communicate what the organization does and why it is important to a wide audience in an engaging manner. It offers an avenue for reaching potential patrons as well as people who may not yet be familiar with the organization.,Strengthening Communities,Catchafire,ongoing,June 5 2022,June 4 2023,MANHATTAN,12076,testadmin
Volunteer for inMotion's Story by Story Stair Climb to End Domestic Violence,"Sign up to volunteer at inMotion's Story by Story stair climb fundraiser on Thursday, October 6th!",Helping Neighbors in Need,"inMotion, Inc.",onetime,October 6 2022,October 6 2022,MANHATTAN,12080,testadmin
Social Media Plan for Professionals,"A social media plan helps an organization develop a presence in the digital sphere, through social media sites like Facebook, Twitter, and others. Social media helps an organization interact and engage with online audiences to increase awareness about its mission, all on a shoestring budget.",Strengthening Communities,Catchafire,ongoing,June 6 2022,June 5 2023,MANHATTAN,12076,testadmin
Summer Back to School Bash,Pack backpacks for our Back to School distribution.,Strengthening Communities,"Clothed With Love, Inc.",onetime,August 12 2022,August 12 2022,BROOKLYN,18181,testadmin
HTML Curriculum Design Intern,Girls Inc. of NYC seeks a HTML Curriculum Design Intern to supplement and expand our HTML curriculum for girls in grades 6 – 11.,Strengthening Communities,Girls Incorporated Of New York City,ongoing,June 5 2022,June 7 2022,MANHATTAN,11726,testadmin
Help New Yorkers Affected by the Storm In Staten Island,"Thousands of New Yorkers aren’t able to dig out the snow; many need help shoveling snow, bringing groceries into their home, or traveling to mass transit hubs.  If you’re an able-bodied New Yorker with a few minutes to spare, please find an opportunity in your neighborhood below.",Helping Neighbors in Need,NYC Service,onetime,February 1 2022,February 1 2022,MANHATTAN,11728,testadmin
Civil Air Patrol America's Best kept secret (Brooklyn),"Civil Air Patrol has three congressionally mandated missions: Emergency Services, Aerospace Education and the Cadet Program.",Strengthening Communities,Civil Air Patrol,ongoing,July 20 2022,July 19 2023,BROOKLYN,17615,testadmin
Wii Fitness Instructor for Seniors,"Metropolitan Council on Jewish Poverty is one of New York's largest human services agencies, providing more than 100,000 New Yorkers with critical services in their fight against poverty and its effects every year.",Health,Metropolitan Council on Jewish Poverty,ongoing,September 1 2022,December 31 2023,MANHATTAN,12078,testadmin
Volunteer with Brooklyn’s older adults!,"Heights and Hills is recruiting volunteers to support our elderly clients through a range of activities including weekly companionship, and help with one time tasks such as setting up email accounts or hanging drapes.",Helping Neighbors in Need,Heights and Hills,ongoing,September 20 2022,September 19 2023,BROOKLYN,16865,testadmin
